doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
ftu-quy-dinh-thu-nop-hoc-phi,data\data_hocphi\ftu-quy-dinh-thu-nop-hoc-phi.md,Quy định về thu nộp học phí đối với sinh viên FTU,https://khoadaotaotructuyen.ftu.edu.vn/van-ban-bieu-mau/quy-dinh-ve-thu-nop-hoc-phi-doi-voi-sinh-vien/,2026-09-19,not-stated,public-source
hus-quy-dinh-thu-hoc-phi,data\data_hocphi\hus-quy-dinh-thu-hoc-phi.md,Quy định về việc thu học phí đào tạo các bậc học của Trường ĐHKHTN,https://bio.hus.vnu.edu.vn/quy-dinh-ve-viec-thu-hoc-phi-dao-tao-cac-bac-hoc-cua-truong-dhkhtn/,2026-09-19,not-stated,public-source
vnua-thong-bao-thu-hoc-phi-2026,data\data_hocphi\vnua-thong-bao-thu-hoc-phi-2026.md,"Thay đổi lịch thu tiền học phí Đợt 1, học kì I, năm học 2026-2027 đối với sinh viên",https://vnua.edu.vn/thong-bao/thay-doi-lich-thu-tien-hoc-phi-dot-1-hoc-ki-i-nam-hoc-2026-2027-doi-voi-sinh-vien-58812,2026-09-19,2026-07-18,public-source
hoc-phi-hust-2026,data\data_hocphi\hoc-phi-hust-2026.md,Học phí Đại học Bách khoa Hà Nội 2026-2027,https://huongnghiep.hocmai.vn/hoc-phi-dai-hoc-bach-khoa-ha-noi-2026-2027-chi-tiet-muc-thu-moi-nhat-cho-tung-chuong-trinh-dao-tao,2026-09-19,2026-08-03,public-source
hoc-phi-neu-2026,data\data_hocphi\hoc-phi-neu-2026.md,Thông tin học phí Đại học Kinh tế Quốc dân năm 2026,https://laodong.vn/giao-duc/dai-hoc-kinh-te-quoc-dan-tang-hoc-phi-nam-2026-1664079.ldo,2026-09-19,2026-03-05,public-source
